mv_id,polarity_mean,polarity_std,comment_count,count_positive,count_negative,positive_ratio,negative_ratio
278,-0.26148713998259066,0.5193874870295203,1255,334,921,0.2661354581673307,0.7338645418326694
279,0.017942382488399737,0.597707271925223,96,47,49,0.4895833333333333,0.5104166666666666
280,-0.15110429937181916,0.5565495764342613,92,35,57,0.3804347826086957,0.6195652173913043
281,-0.08276279830839485,0.5653006036273093,200,80,120,0.4,0.6
282,0.14484568077692372,0.5568635475009571,187,99,88,0.5294117647058824,0.47058823529411764
283,0.022929372227529884,0.541346420719596,97,44,53,0.4536082474226804,0.5463917525773195
284,0.25112416599341464,0.6437267024056518,452,282,170,0.6238938053097345,0.37610619469026546
285,0.24601299467974821,0.5922326789019193,592,373,219,0.6300675675675675,0.36993243243243246
286,-0.034967534717113266,0.6810988526534166,63,30,33,0.47619047619047616,0.5238095238095238
287,-0.05054581325642671,0.6716270912068185,158,68,90,0.43037974683544306,0.569620253164557
288,0.12205073813336992,0.5006680009103448,310,173,137,0.5580645161290323,0.44193548387096776
289,-0.14779433539101425,0.6742056249591463,1560,627,933,0.40192307692307694,0.5980769230769231
290,-0.04385424358575414,0.6722133317768496,239,110,129,0.4602510460251046,0.5397489539748954
291,-0.07917672919873626,0.6747304735794056,78,33,45,0.4230769230769231,0.5769230769230769
292,-0.5357983452267945,0.4171211085919914,8,1,7,0.125,0.875
293,0.3424444159072253,0.5132247993043016,465,347,118,0.7462365591397849,0.2537634408602151
294,0.28356857629825366,0.565026333885091,1042,702,340,0.6737044145873321,0.32629558541266795
295,-0.1057999189920795,0.7114429937777682,209,87,122,0.41626794258373206,0.583732057416268
296,-0.017740361811300308,0.6762759061081491,318,152,166,0.4779874213836478,0.5220125786163522
297,-0.04783380562938482,0.7223757983175378,112,55,57,0.49107142857142855,0.5089285714285714
298,0.21819718325794335,0.6041104858702304,151,94,57,0.6225165562913907,0.37748344370860926
299,0.18343146597246893,0.5851164578390823,176,112,64,0.6363636363636364,0.36363636363636365
300,-0.23027772003916477,0.632788766862776,198,65,133,0.3282828282828283,0.6717171717171717
301,-0.10176227885972837,0.6787408548428954,145,57,88,0.3931034482758621,0.6068965517241379
302,-0.14684672493183012,0.5934061046662952,159,67,92,0.42138364779874216,0.5786163522012578
303,0.13626655518339995,0.6029596499382472,78,43,35,0.5512820512820513,0.44871794871794873
304,-0.013754470293528174,0.650714794187253,142,71,71,0.5,0.5
305,0.056128439392362325,0.6376337673120361,350,185,165,0.5285714285714286,0.4714285714285714
306,0.1963352936503028,0.6665797600000378,402,241,161,0.599502487562189,0.40049751243781095
307,0.37098982032374067,0.5667725474680886,1295,958,337,0.7397683397683398,0.2602316602316602
308,0.2455125799934779,0.6376452839790047,105,64,41,0.6095238095238096,0.3904761904761905
310,0.006113430036714787,0.6523881851416181,162,78,84,0.48148148148148145,0.5185185185185185
311,-0.2854113976160686,0.5921487225316819,3,1,2,0.3333333333333333,0.6666666666666666
312,0.0398666546651465,0.5197149951627505,163,76,87,0.4662576687116564,0.5337423312883436
313,0.04935136655795163,0.6057050559632375,87,43,44,0.4942528735632184,0.5057471264367817
314,-0.27511560578433863,0.6550867347800227,108,37,71,0.3425925925925926,0.6574074074074074
315,0.2477843304685756,0.5176642374005775,681,442,239,0.6490455212922174,0.3509544787077827
316,0.022707953101370294,0.593101919725277,312,154,158,0.4935897435897436,0.5064102564102564
317,-0.056121600506603975,0.6583982756818992,609,285,324,0.46798029556650245,0.5320197044334976
