id,title,year,rating_count,rating_score,tp_drama,tp_comedy,tp_action,tp_romance,polarity_mean,polarity_std,comment_count,positive_ratio,negative_ratio,box_off,avg_price,avg_attend
23,武林外传,2011,7761.0,9.5,0,1,1,0,0.2642463381612313,0.5767086295640655,1999,0.6608304152076038,0.3391695847923962,18643,35.90818,33.0
25,狙击手,2022,9479.0,7.8,1,0,0,0,0.0633242453799969,0.6827205084041107,2019,0.5240217929668153,0.4759782070331847,60806,44.77382,7.0
26,中国乒乓之绝地反击,2023,2820.0,9.0,1,0,0,0,0.2526298809342336,0.6183991594768338,1997,0.6344516775162744,0.3655483224837256,10094,43.72774,5.0
27,姜子牙,2020,36044.0,7.6,1,0,0,0,-0.0390313707311944,0.712378637222556,2016,0.4637896825396825,0.5362103174603174,160302,39.790684,19.0
28,一秒钟,2020,6212.0,6.0,1,0,0,0,0.0239777901500138,0.653292691084176,1399,0.4767691208005718,0.5232308791994281,13130,37.046616,5.0
29,抓娃娃,2024,4849.0,9.2,0,1,0,0,0.1896779268573155,0.5994393583787853,1996,0.5961923847695391,0.4038076152304609,332748,41.382744,14.0
30,八佰,2020,82047.0,6.4,1,0,0,0,0.0598395077967997,0.628759572156649,1996,0.4884769539078156,0.5115230460921844,311084,38.33633,20.0
31,夏洛特烦恼,2015,16668.0,9.5,0,1,0,1,0.0741656150785274,0.5951453647361052,2000,0.5175,0.4825,144474,32.16958993133712,33.88734305134488
32,飞驰人生2,2024,10911.0,9.5,1,1,0,0,0.1892141358717344,0.5571292921877319,2000,0.59,0.41,336118,48.021324,19.0
36,请别相信她,2023,461.0,5.9,0,1,0,1,0.0392670396715402,0.6401833467167213,290,0.5,0.5,5220,40.653793,5.0
37,年会不能停！,2023,11429.0,9.6,1,1,0,0,0.1942653882696017,0.5808419500171262,1999,0.6028014007003502,0.3971985992996498,129264,39.353182111198784,9.329387919296945
39,孤注一掷,2023,3283.0,9.1,1,0,0,0,0.2157086374962288,0.6213121035562686,1996,0.6287575150300602,0.3712424849699399,384884,41.41745,18.0
40,周处除三害,2024,5272.0,9.7,0,0,1,0,0.2248524227902084,0.5583592468662794,1998,0.6051051051051051,0.3948948948948949,66583,39.485966,7.0
42,明日战记,2022,6405.0,7.9,0,0,1,0,-0.000640218949114,0.7083655973958632,1999,0.4877438719359679,0.512256128064032,67947,41.25766,7.0
43,白蛇传·情,2021,11753.0,9.9,1,0,0,1,0.3408844319984138,0.5720476797954205,1997,0.7100650976464697,0.2899349023535303,2374,38.45871233192923,5.0
44,战狼,2015,11789.0,7.8,0,0,1,0,-0.106076805155715,0.6298291294550341,2010,0.3771144278606965,0.6228855721393035,54360,34.307503,25.0
46,人在囧途,2012,6250.0,9.6,0,1,0,0,0.2070770769329079,0.551085475727204,1645,0.6048632218844985,0.3951367781155015,64,29.55581,36.0
47,宇宙探索编辑部,2023,10048.0,9.6,0,1,0,0,0.0974192814507593,0.5769785460203666,1998,0.5480480480480481,0.4519519519519519,6704,44.311047,5.0
48,唐探1900,2025,5886.0,8.9,0,1,1,0,0.2627804174297233,0.6200483953404625,1998,0.6391391391391391,0.3608608608608609,361247,48.67374,19.0
49,三大队,2023,4928.0,9.7,1,0,0,0,0.2153687404581048,0.5774113235389027,1997,0.599899849774662,0.400100150225338,70586,42.25925143838722,8.173547162326807
